Continente,Pais,Hom2009,Muj2009,Hom2010,Muj2010,Hom2011,Muj2011,Hom2012,Muj2012,Hom2013,Muj2013,Hom2014,Muj2014,Hom2015,Muj2015
EUROPA,RUSIA,759,674,824,745,890,793,970,876,1011,928,1089,943,1152,966
EUROPA,SAN MARINO,.,1,.,2,.,1,.,1,.,1,.,1,.,1
EUROPA,SANTA SEDE,.,.,.,.,.,1,.,1,1,.,1,.,.,.
EUROPA,SERBIA,108,92,102,88,108,78,118,83,129,91,134,86,129,92
EUROPA,SUECIA,2803,2144,2952,2256,3095,2416,3311,2620,3523,2789,3823,3111,4202,3404
EUROPA,SUIZA,44776,42894,45938,44204,47470,45792,48992,47411,50637,48902,52587,50660,54460,52556
EUROPA,UCRANIA,119,93,138,101,154,117,180,133,170,125,169,134,176,138
AFRICA,ANGOLA,109,104,128,104,141,112,159,118,167,119,200,125,210,124
AFRICA,ARGELIA,230,192,303,229,326,229,384,224,354,242,367,246,358,257
AFRICA,BENIN,14,23,21,25,27,24,23,18,24,22,21,21,24,20
AFRICA,BOTSWANA,8,4,10,5,8,5,8,5,7,8,6,6,8,6
AFRICA,BURKINA FASO,13,14,10,15,18,21,19,17,21,16,15,13,16,18
